Label,Outer left eyebrow-x,Outer left eyebrow-y,Middle left eyebrow-x,Middle left eyebrow-y,Inner left eyebrow-x,Inner left eyebrow-y,Inner right eyebrow-x,Inner right eyebrow-y,Middle right eyebrow-x,Middle right eyebrow-y,Outer right eyebrow-x,Outer right eyebrow-y,Left temple-x,Left temple-y,Outer left eye corner-x,Outer left eye corner-y,Inner left eye corner-x,Inner left eye corner-y,Inner right eye corner-x,Inner right eye corner-y,Outer right eye corner-x,Outer right eye corner-y,Right temple-x,Right temple-y,Nose saddle left-x,Nose saddle left-y,Nose saddle right-x,Nose saddle right-y,Left nose peak-x,Left nose peak-y,Nose tip-x,Nose tip-y,Right nose peak-x,Right nose peak-y,Left mouth corner-x,Left mouth corner-y,Upper lip outer middle-x,Upper lip outer middle-y,Right mouth corner-x,Right mouth corner-y,Upper lip inner middle-x,Upper lip inner middle-y,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip outer middle-x,Lower lip outer middle-y,Chin middle-x,Chin middle-y,Left ear lobe-x,Left ear lobe-y,Right ear lobe-x,Right ear lobe-y
DISGUST,135.383,581.707,254.81,492.137,514.991,543.32,779.436,543.32,1026.82,513.463,1116.39,607.298,-1,-1,233.484,607.298,497.93,615.829,770.906,637.155,1022.56,662.747,-1,-1,578.969,641.42,689.866,641.42,472.338,893.07,614.966,907.121,754.792,934.587,352.911,1085.01,587.5,1067.95,809.293,1119.13,587.5,1110.6,585.003,1126.85,587.5,1212.96,574.704,1511.53,-1,-1,-1,-1
SURPRISE,105.94,558.519,173.58,447.113,408.328,502.816,726.63,498.837,945.463,423.24,1029.02,490.879,-1,-1,193.473,574.434,428.221,578.412,702.757,586.37,957.399,570.455,-1,-1,519.733,590.349,633.376,589.95,428.221,876.821,558.842,892.745,682.289,904.391,368.54,1123.51,555.542,1047.91,734.588,1123.51,563.5,1095.65,563.5,1167.27,555.542,1266.74,575.436,1461.7,-1,-1,-1,-1
SURPRISE,131.435,532.766,262.198,393.831,474.687,426.522,723.953,463.299,911.924,430.608,1034.51,561.371,-1,-1,196.817,598.147,458.342,602.234,715.781,614.493,965.047,626.752,-1,-1,527.809,671.701,629.968,671.701,429.737,908.709,568.673,876.018,707.608,937.313,384.788,1231.53,560.5,1182.49,744.385,1239.7,560.5,1208.38,560.5,1308.5,560.5,1355.49,540.068,1644.25,-1,-1,-1,-1
SADNESS,128.011,529.586,254.313,414.766,460.989,468.349,694.457,487.486,889.651,464.522,1015.95,594.651,-1,-1,196.903,575.514,434.198,594.651,702.112,617.615,947.061,652.061,-1,-1,506.917,655.888,598.773,663.543,403.579,897.011,518.399,904.665,660.011,931.457,334.687,1176.41,522.227,1153.44,728.903,1203.2,526.054,1175.55,524.14,1187.03,524.14,1210.0,491.608,1513.21,-1,-1,-1,-1
FEAR,129.176,488.86,261.752,391.378,452.817,414.773,694.572,445.968,893.435,414.773,994.817,527.853,-1,-1,187.665,562.946,441.119,570.745,686.773,590.241,940.227,613.637,-1,-1,519.104,625.335,608.788,633.133,417.723,855.392,546.399,824.198,698.471,878.788,363.133,1179.03,546.399,1132.24,733.565,1194.63,546.399,1155.64,544.45,1186.73,540.55,1229.62,526.903,1526.07,-1,-1,-1,-1
DISGUST,180.018,489.464,336.349,405.579,526.996,451.335,706.205,470.399,900.665,466.586,1026.49,573.349,-1,-1,225.773,565.723,481.241,573.349,721.457,600.04,969.299,619.104,-1,-1,553.687,657.234,652.824,668.673,439.299,874.572,588.004,866.946,732.896,908.888,351.601,1122.41,568.939,1128.94,788.183,1140.38,570.845,1149.92,568.939,1201.39,563.219,1241.43,538.435,1522.77,-1,-1,-1,-1
HAPPY,107.615,545.14,227.155,410.176,423.817,444.881,674.464,483.442,878.838,444.881,982.953,560.565,-1,-1,177.025,595.27,427.673,591.414,686.032,599.126,936.68,641.543,-1,-1,493.227,653.112,578.061,656.968,385.255,861.342,516.363,876.766,666.752,899.903,300.421,1100.42,520.219,1111.99,770.867,1123.56,520.219,1133.2,520.219,1188.1,518.291,1226.67,504.795,1540.02,-1,-1,-1,-1
ANGER,127.255,561.112,264.234,455.442,487.313,478.924,690.824,486.752,902.162,478.924,1035.23,596.335,-1,-1,185.96,608.076,452.09,611.989,706.478,619.817,968.694,647.212,-1,-1,514.709,662.867,608.637,662.867,420.781,913.342,542.104,893.773,702.565,932.91,369.903,1206.87,557.759,1183.38,765.183,1226.44,559.716,1206.84,557.759,1216.62,553.845,1242.06,542.104,1551.27,-1,-1,-1,-1
DISGUST,71.0544,753.041,150.869,649.752,338.667,677.922,643.84,715.481,850.418,626.277,977.182,692.007,-1,-1,127.394,795.296,371.532,818.771,639.145,795.296,925.537,785.906,-1,-1,427.871,879.805,545.245,875.11,352.752,1114.55,484.211,1072.3,676.704,1072.3,319.887,1377.47,517.076,1358.69,761.214,1354.0,528.813,1369.03,531.16,1408.94,526.466,1455.89,535.855,1720.2,-1,-1,-1,-1
SADNESS,164.214,657.232,266.15,584.42,479.731,565.004,819.519,613.545,1037.95,608.691,1110.77,691.211,-1,-1,237.025,778.585,479.731,798.001,809.81,793.147,1042.81,768.877,-1,-1,601.084,822.272,698.166,817.418,533.126,1176.62,673.895,1094.1,795.248,1186.33,421.481,1438.74,688.458,1409.62,926.309,1395.06,707.874,1433.89,678.749,1453.31,678.749,1492.14,659.333,1827.07,-1,-1,-1,-1
FEAR,135.288,640.473,283.776,487.036,506.508,526.633,768.837,546.431,991.569,501.885,1100.46,625.625,-1,-1,219.431,714.718,506.508,724.617,768.837,734.516,1036.12,734.516,-1,-1,590.651,764.214,709.442,774.113,481.76,1031.49,679.744,952.298,828.232,1041.39,437.214,1417.56,650.046,1303.72,823.282,1407.66,645.097,1333.42,630.248,1536.35,615.399,1605.65,605.5,1828.38,-1,-1,-1,-1
ANGER,144.781,902.946,287.015,765.98,508.267,792.32,829.609,797.588,1050.86,755.444,1172.02,844.999,-1,-1,244.871,918.749,513.534,950.357,813.805,929.285,1098.27,918.749,-1,-1,618.893,1003.04,745.322,987.232,502.999,1255.9,692.643,1187.41,877.02,1255.9,460.855,1605.64,712.718,1552.96,926.068,1581.94,712.718,1571.4,712.718,1584.57,710.084,1637.25,703.179,1930.19,-1,-1,-1,-1
HAPPY,133.859,782.906,222.093,686.651,462.729,697.346,804.433,705.367,1010.58,675.956,1125.55,769.537,-1,-1,215.943,828.359,464.601,852.423,791.065,839.054,1030.1,809.643,-1,-1,577.166,900.55,702.831,900.55,456.847,1138.51,657.378,1111.78,831.171,1151.88,334.657,1379.55,663.527,1363.51,954.163,1355.48,670.746,1390.24,646.683,1609.49,652.03,1679.01,647.89,1943.31,-1,-1,-1,-1
SURPRISE,161.985,631.29,311.269,476.675,540.527,540.654,833.763,535.322,1036.36,471.344,1148.32,599.301,-1,-1,236.627,711.264,519.2,732.59,801.773,727.259,1068.35,705.932,-1,-1,647.158,796.569,753.789,791.237,513.869,1068.48,727.131,977.842,844.426,1052.48,465.885,1468.35,695.142,1335.06,887.078,1452.35,695.142,1356.38,673.816,1638.96,684.479,1718.93,673.816,1958.85,-1,-1,-1,-1
HAPPY,86.7014,502.018,225.579,421.615,426.586,436.234,645.867,436.234,850.529,414.306,996.716,491.054,-1,-1,189.032,538.565,426.586,549.529,642.212,556.838,887.076,542.219,-1,-1,481.406,629.932,561.809,629.932,371.766,834.594,506.989,893.068,678.759,838.248,291.363,1031.95,514.299,1020.98,784.745,1046.56,517.953,1061.18,528.917,1137.93,525.263,1203.72,536.227,1441.27,-1,-1,-1,-1
HAPPY,75.4352,415.991,222.1,327.85,433.3,357.55,618.1,354.25,812.8,278.35,981.001,374.515,-1,-1,123.824,536.964,379.595,495.488,666.473,492.031,936.069,492.031,-1,-1,482.8,506.05,585.1,499.45,386.507,716.695,548.956,713.238,725.231,706.325,282.817,927.532,538.587,844.58,818.552,941.358,548.956,886.056,542.044,1010.49,542.044,1079.61,562.782,1321.56,-1,-1,-1,-1
HAPPY,124.466,500.707,218.81,406.362,411.431,445.672,639.431,433.879,843.845,378.845,926.397,465.328,-1,-1,175.569,587.19,423.224,571.466,643.362,567.534,887.086,559.672,-1,-1,490.052,547.879,604.052,540.017,419.293,854.5,556.879,830.914,694.466,854.5,332.81,1043.19,564.741,1011.74,769.155,1047.12,564.741,1051.05,568.672,1145.4,576.534,1216.16,576.534,1412.71,-1,-1,-1,-1
HAPPY,96.0468,468.737,278.032,390.234,492.133,447.327,724.076,454.464,927.471,408.076,1070.21,486.579,-1,-1,188.824,554.378,452.881,579.356,727.644,582.924,980.996,575.788,-1,-1,552.795,661.428,649.14,661.428,435.04,857.687,592.047,914.781,738.349,868.392,292.306,1014.69,588.478,1018.26,834.694,1036.1,581.342,1046.81,567.068,1168.13,563.5,1203.82,556.363,1435.76,-1,-1,-1,-1
FEAR,114.212,408.619,291.274,379.109,500.528,413.984,674.906,408.619,873.429,403.253,1042.44,440.812,9.58534,481.053,194.695,494.467,428.094,513.246,720.513,521.294,937.815,513.246,1088.05,505.198,530.505,454.819,627.605,452.195,420.045,811.031,569.87,809.103,717.83,805.665,390.535,1076.62,575.645,1006.87,733.927,1068.57,575.645,1031.02,575.645,1116.86,572.962,1218.81,583.693,1436.11,-1,-1,-1,-1
HAPPY,88.3367,497.149,249.301,440.812,463.921,467.639,651.713,473.005,887.795,440.812,1054.13,497.149,13.2199,558.853,187.598,569.583,410.266,585.68,708.051,580.314,933.402,577.632,1097.05,561.535,494.892,528.3,615.611,533.549,394.17,867.368,560.5,885.208,726.83,859.32,270.763,990.775,557.817,1028.33,831.457,996.14,557.817,1044.43,555.135,1100.77,552.452,1165.15,549.769,1422.7,-1,-1,-1,-1
ANGER,115.776,442.164,268.147,423.775,465.179,455.3,667.465,455.3,877.632,436.91,1051.02,486.825,15.9471,507.841,186.708,515.723,420.519,536.739,712.125,552.502,940.682,541.994,1098.31,526.231,508.242,496.77,613.607,491.631,407.383,833.6,549.36,828.284,698.99,833.6,399.502,1083.17,559.754,1038.51,714.752,1080.55,562.381,1077.92,562.381,1091.05,559.754,1159.36,562.381,1401.05,-1,-1,-1,-1
SURPRISE,78.0788,490.292,245.801,416.055,441.018,454.548,641.734,451.799,880.943,427.053,1040.42,509.539,6.59091,556.281,160.565,570.029,394.276,581.027,696.724,592.025,919.437,581.027,1084.41,561.78,480.948,517.259,599.293,511.879,394.276,872.478,532.052,858.845,680.227,861.48,364.031,1139.18,534.502,1075.94,704.973,1144.68,534.502,1108.94,537.251,1174.93,537.251,1279.41,545.5,1471.88,-1,-1,-1,-1
SADNESS,105.34,468.368,276.324,433.637,463.337,455.01,658.365,455.01,885.452,449.667,1032.39,500.428,14.5056,527.144,188.16,543.173,404.561,545.845,717.14,553.86,920.183,561.875,1091.17,548.517,501.845,499.972,601.155,502.585,399.218,853.081,541.046,844.945,701.11,847.737,340.442,1090.85,548.828,1040.09,754.543,1096.2,551.5,1069.48,551.5,1080.17,551.5,1149.63,554.172,1400.76,-1,-1,-1,-1
DISGUST,107.094,458.183,268.66,419.845,474.04,458.183,662.99,458.183,854.678,439.014,1016.24,485.567,11.2495,523.904,186.507,537.596,405.58,551.288,704.066,559.504,914.923,562.242,1076.49,551.288,504.997,491.054,612.148,493.732,402.841,849.775,547.858,833.936,695.851,849.775,364.504,1142.78,553.454,1063.37,731.45,1142.78,553.454,1112.66,553.454,1126.35,553.454,1186.6,564.407,1463.18,-1,-1,-1,-1
FEAR,118.699,478.888,299.032,385.715,491.389,355.66,617.622,310.576,828.012,358.665,984.301,448.832,7.49258,560.038,175.804,566.049,425.266,560.038,665.712,551.021,909.162,545.01,1092.5,529.982,504.458,468.447,589.721,465.507,419.255,866.606,560.32,777.159,695.767,854.583,341.11,1185.2,551.5,1080.0,761.89,1176.18,554.506,1116.07,557.511,1242.3,557.511,1338.48,563.522,1602.97,-1,-1,-1,-1
ANGER,80.8702,532.226,276.886,459.886,491.461,500.628,619.12,484.331,822.83,432.724,1013.47,516.284,2.55566,571.248,162.808,587.545,434.422,592.977,662.578,598.409,904.314,587.545,1091.73,565.815,500.674,548.168,601.64,542.854,396.396,875.455,548.5,853.721,722.333,872.739,355.654,1152.5,559.365,1062.87,738.63,1141.64,556.648,1095.46,556.648,1106.33,556.648,1144.35,570.229,1432.26,-1,-1,-1,-1
HAPPY,92.2877,584.516,237.418,444.724,478.398,450.602,651.786,432.969,869.255,418.276,1038.09,541.395,25.8265,641.622,193.337,653.378,440.194,635.745,689.99,626.929,928.031,629.867,1119.05,597.541,509.13,564.393,618.371,555.769,410.806,909.051,578.124,846.121,739.949,894.357,313.827,1103.01,593.01,1058.93,860.439,1088.32,593.01,1217.62,595.949,1308.72,593.01,1564.4,-1,-1,-1,-1,-1,-1
SURPRISE,79.4655,587.603,268.626,448.415,487.532,473.795,617.606,461.105,833.339,419.862,1019.81,537.948,14.8228,638.767,182.968,645.112,427.253,638.767,674.712,629.25,912.652,626.077,1109.35,600.697,498.431,562.776,603.948,553.466,427.253,927.468,560.5,860.845,693.747,921.123,414.563,1292.31,560.5,1127.34,719.127,1285.97,560.5,1184.44,570.018,1358.93,573.19,1460.46,589.053,1695.22,-1,-1,-1,-1
DISGUST,137.4,503.099,345.786,452.339,540.814,441.652,639.663,374.862,842.706,422.951,986.973,476.383,11.834,575.233,193.504,588.591,452.65,567.218,682.409,575.233,928.198,580.576,1096.51,548.517,538.433,507.812,619.449,494.745,428.606,842.394,602.261,837.051,735.841,845.066,359.144,1154.97,578.216,1058.79,770.572,1160.32,575.545,1122.91,575.545,1136.27,575.545,1208.41,578.216,1427.48,-1,-1,-1,-1
SADNESS,115.248,532.297,296.723,419.428,499.064,361.22,607.164,330.73,820.593,375.079,997.988,458.233,13.9991,613.454,185.851,605.138,429.769,571.877,673.687,555.246,906.519,560.789,1100.54,544.159,516.54,472.645,595.172,464.511,435.313,890.634,571.131,810.251,704.177,871.231,343.843,1159.5,579.446,1062.49,801.19,1126.24,579.446,1095.75,579.446,1106.83,579.446,1153.95,593.305,1481.03,-1,-1,-1,-1
HAPPY,69.2798,531.145,148.505,393.542,432.049,368.524,669.725,330.996,911.572,301.808,1024.16,435.24,-1,-1,173.524,560.333,411.2,539.484,678.065,518.635,936.59,497.786,-1,-1,498.765,531.145,611.349,510.296,411.2,772.991,594.67,873.065,740.611,781.33,348.654,1052.36,598.84,985.649,853.195,993.988,594.67,1014.84,603.009,1123.25,607.179,1194.14,619.688,1527.72,-1,-1,-1,-1
HAPPY,89.2294,317.794,203.843,219.164,393.129,237.821,582.871,250.75,789.614,210.55,901.6,328.279,-1,-1,146.81,356.182,393.129,343.386,580.0,342.636,824.985,352.983,-1,-1,447.511,349.784,536.929,345.507,364.338,599.301,505.092,615.296,623.452,589.704,255.574,749.651,489.097,733.656,709.214,750.379,495.293,774.068,498.164,860.211,496.729,906.539,498.694,1133.52,-1,-1,-1,-1
FEAR,133.96,443.219,230.004,301.076,441.299,335.651,656.435,339.493,825.471,308.759,944.565,427.853,-1,-1,218.478,504.687,445.14,481.637,664.119,493.162,906.147,535.421,-1,-1,521.975,504.687,610.335,508.529,422.09,715.982,556.55,623.781,710.219,723.665,364.464,1027.16,541.183,846.601,725.586,1042.53,541.183,896.543,537.342,1176.99,541.183,1230.77,541.183,1526.59,-1,-1,-1,-1
SADNESS,163.709,500.04,291.119,416.313,473.133,438.155,702.471,467.277,884.486,449.076,990.054,518.241,-1,-1,225.594,591.047,440.371,561.924,724.313,572.845,942.73,609.248,-1,-1,542.299,598.327,629.665,598.327,462.212,867.709,589.622,765.781,724.313,849.507,389.406,1075.21,571.421,1006.04,775.277,1100.69,575.061,1049.72,578.701,1064.28,578.701,1111.61,567.781,1446.51,-1,-1,-1,-1
DISGUST,96.018,449.428,208.076,374.723,384.651,405.284,540.853,405.284,690.263,384.91,856.651,429.054,-1,-1,133.371,537.716,367.673,507.155,612.162,507.155,839.673,537.716,-1,-1,425.399,551.299,486.522,551.299,316.737,751.644,449.169,700.709,608.766,761.831,248.824,968.968,449.169,884.076,710.637,972.363,459.356,918.032,459.356,1009.72,459.356,1047.07,435.586,1291.56,-1,-1,-1,-1
HAPPY,112.119,488.86,238.522,402.183,433.543,431.076,661.068,445.522,859.701,416.629,975.27,481.637,-1,-1,191.572,561.09,429.932,550.255,689.96,550.255,913.874,571.924,-1,-1,509.385,604.428,599.673,608.04,411.874,806.673,556.335,792.227,700.795,803.061,278.248,990.86,559.946,951.133,823.586,1001.69,556.335,987.248,552.723,1099.21,556.335,1149.77,541.888,1402.57,-1,-1,-1,-1
ANGER,144.011,524.975,284.86,478.025,479.881,506.917,689.349,503.306,848.255,470.802,974.658,470.802,-1,-1,209.018,608.04,447.378,597.205,692.96,589.982,938.543,586.371,-1,-1,544.888,665.824,638.788,665.824,469.047,889.737,613.507,915.018,747.133,889.737,400.428,1102.82,595.45,1055.87,801.306,1088.37,599.061,1091.98,602.673,1110.04,602.673,1156.99,599.061,1438.69,-1,-1,-1,-1
SURPRISE,113.356,473.637,241.083,380.745,430.737,431.061,674.579,415.579,864.234,403.968,968.737,481.378,-1,-1,202.378,558.788,430.737,554.917,674.579,566.529,906.809,578.14,-1,-1,523.629,609.104,612.651,624.586,415.255,818.112,558.464,775.536,701.673,833.594,357.198,1104.53,539.112,988.414,736.507,1116.14,539.112,1030.99,542.982,1185.81,546.853,1259.35,519.759,1522.54,-1,-1,-1,-1
FEAR,123.946,459.737,284.191,411.291,466.795,418.745,679.212,415.018,869.27,374.025,1055.6,411.291,-1,-1,172.392,605.076,444.435,608.802,720.205,590.169,999.701,549.176,-1,-1,533.874,672.155,630.766,668.428,448.162,933.018,604.68,854.759,757.471,906.932,403.442,1186.43,615.86,1115.62,828.277,1160.34,623.313,1149.16,615.86,1193.88,623.313,1257.23,608.406,1480.83,-1,-1,-1,-1
ANGER,147.32,482.068,308.802,455.781,462.773,500.845,721.896,485.824,898.399,410.716,1063.64,421.982,-1,-1,177.363,624.773,466.529,639.795,744.428,613.507,1041.1,568.442,-1,-1,560.414,711.147,654.299,703.637,477.795,977.781,631.766,928.96,781.982,951.493,417.709,1218.13,661.809,1150.53,853.335,1176.82,661.809,1188.08,654.299,1206.86,650.543,1270.7,658.054,1499.78,-1,-1,-1,-1
HAPPY,115.594,523.953,243.32,431.061,456.198,477.507,727.133,462.025,924.529,384.615,1114.18,469.766,-1,-1,169.781,659.421,463.939,671.032,742.615,643.939,1048.38,612.975,-1,-1,564.572,713.608,665.205,701.996,463.939,972.932,634.241,903.263,800.673,941.968,343.953,1170.33,641.982,1127.75,940.011,1135.49,645.853,1166.46,630.371,1240.0,630.371,1301.92,638.112,1561.25,-1,-1,-1,-1
SURPRISE,81.4928,470.543,211.291,395.176,412.27,416.112,671.867,407.737,872.845,332.371,1044.51,395.176,-1,-1,135.924,625.464,424.831,646.399,701.176,612.903,994.27,566.845,-1,-1,512.759,688.27,613.248,675.709,433.205,977.176,575.565,876.687,743.047,943.68,403.896,1287.02,592.313,1161.41,797.478,1245.15,596.5,1203.28,604.874,1379.13,609.061,1450.31,621.622,1680.6,-1,-1,-1,-1
DISGUST,127.356,447.255,279.558,408.32,435.299,433.097,658.291,433.097,835.27,394.162,1005.17,397.701,-1,-1,145.054,564.061,417.601,578.219,690.147,567.601,973.313,525.126,-1,-1,513.169,645.471,601.658,638.392,421.14,889.701,566.263,879.083,732.622,864.924,350.349,1126.85,591.04,1048.98,828.191,1098.54,587.5,1084.38,580.421,1123.31,583.96,1179.95,605.198,1406.48,-1,-1,-1,-1
SADNESS,123.277,500.845,273.493,429.493,446.241,418.227,690.342,403.205,874.356,391.939,1054.62,425.737,-1,-1,160.831,639.795,449.996,636.04,731.651,605.996,1017.06,568.442,-1,-1,547.637,703.637,637.766,699.881,468.773,981.536,603.968,917.694,769.205,947.737,404.932,1218.13,652.788,1143.02,878.112,1158.04,656.543,1188.08,637.766,1199.35,630.255,1248.17,645.277,1503.54,-1,-1,-1,-1
FEAR,76.1154,311.993,163.235,255.176,375.351,255.176,598.832,217.298,818.524,202.147,913.219,315.781,-1,-1,140.508,429.415,375.351,421.84,606.407,402.901,841.251,402.901,-1,-1,447.32,380.174,519.288,372.598,341.261,671.834,473.834,611.229,636.71,668.046,273.081,936.98,492.773,834.71,704.89,925.617,504.137,876.375,504.137,1027.89,496.561,1084.7,511.065,1402.0,-1,-1,-1,-1
SURPRISE,76.0915,344.58,169.672,239.301,388.028,266.595,629.779,274.394,820.84,231.503,926.118,313.386,-1,-1,169.672,442.06,411.423,449.858,641.476,445.959,883.227,445.959,-1,-1,501.105,434.261,586.887,430.362,395.826,726.702,528.399,656.516,668.771,738.399,360.733,1038.64,547.895,902.166,719.46,1023.04,540.097,941.158,536.198,1128.32,536.198,1202.4,554.174,1440.97,-1,-1,-1,-1
HAPPY,81.9801,387.359,210.654,302.802,405.503,332.214,629.763,317.508,795.2,317.508,920.198,372.654,-1,-1,162.861,471.916,401.826,449.858,644.468,453.534,890.786,464.564,-1,-1,468.001,435.153,578.293,438.829,376.092,696.176,526.824,677.794,677.556,692.5,243.741,879.996,515.794,854.261,780.495,883.672,530.5,887.349,526.824,986.611,523.147,1049.11,528.348,1354.29,-1,-1,-1,-1
ANGER,65.9615,429.654,206.269,315.192,424.115,355.808,634.577,348.423,785.962,322.577,941.038,385.346,-1,-1,154.577,492.423,405.654,466.577,641.962,459.192,874.577,466.577,-1,-1,483.192,455.5,564.423,444.423,365.388,718.196,520.115,680.731,689.612,722.519,357.654,965.038,557.038,902.269,741.654,972.423,545.962,939.192,553.346,957.654,542.269,998.269,555.599,1368.8,-1,-1,-1,-1
DISGUST,67.8554,361.649,142.052,273.32,368.174,294.519,573.097,276.853,806.285,230.922,898.147,283.919,-1,-1,152.651,435.845,375.24,425.245,615.495,407.58,852.216,407.58,-1,-1,449.436,393.447,548.365,382.847,339.908,651.367,481.235,637.235,647.293,665.5,308.11,923.42,495.367,842.158,696.757,905.755,488.301,881.023,484.768,895.155,484.768,955.219,515.705,1299.44,-1,-1,-1,-1
SADNESS,68.1817,354.216,153.741,236.572,374.771,250.832,581.54,236.572,813.264,204.487,938.038,318.566,-1,-1,157.306,457.601,396.16,425.516,617.19,425.516,870.304,425.516,-1,-1,453.2,379.171,560.15,368.476,364.076,703.585,506.675,642.98,663.534,692.89,310.601,960.264,524.5,874.704,734.834,953.134,535.195,910.354,528.065,928.179,538.76,978.089,532.848,1317.41,-1,-1,-1,-1
