Label,Outer left eyebrow-x,Outer left eyebrow-y,Outer left eyebrow-z,Middle left eyebrow-x,Middle left eyebrow-y,Middle left eyebrow-z,Inner left eyebrow-x,Inner left eyebrow-y,Inner left eyebrow-z,Inner right eyebrow-x,Inner right eyebrow-y,Inner right eyebrow-z,Middle right eyebrow-x,Middle right eyebrow-y,Middle right eyebrow-z,Outer right eyebrow-x,Outer right eyebrow-y,Outer right eyebrow-z,Left temple-x,Left temple-y,Left temple-z,Outer left eye corner-x,Outer left eye corner-y,Outer left eye corner-z,Inner left eye corner-x,Inner left eye corner-y,Inner left eye corner-z,Inner right eye corner-x,Inner right eye corner-y,Inner right eye corner-z,Outer right eye corner-x,Outer right eye corner-y,Outer right eye corner-z,Right temple-x,Right temple-y,Right temple-z,Nose saddle left-x,Nose saddle left-y,Nose saddle left-z,Nose saddle right-x,Nose saddle right-y,Nose saddle right-z,Left nose peak-x,Left nose peak-y,Left nose peak-z,Nose tip-x,Nose tip-y,Nose tip-z,Right nose peak-x,Right nose peak-y,Right nose peak-z,Left mouth corner-x,Left mouth corner-y,Left mouth corner-z,Upper lip outer middle-x,Upper lip outer middle-y,Upper lip outer middle-z,Right mouth corner-x,Right mouth corner-y,Right mouth corner-z,Upper lip inner middle-x,Upper lip inner middle-y,Upper lip inner middle-z,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip inner middle-z,Lower lip outer middle-x,Lower lip outer middle-y,Lower lip outer middle-z,Chin middle-x,Chin middle-y,Chin middle-z,Left ear lobe-x,Left ear lobe-y,Left ear lobe-z,Right ear lobe-x,Right ear lobe-y,Right ear lobe-z
SADNESS,-46.727,13.051,52.478,-25.381,19.728,64.668,-1.751,22.697,66.183,21.603,23.442,63.602,41.535,18.543,55.757,57.67,9.522,36.94,NaN,NaN,NaN,-37.025,5.809,61.247,-8.436,5.818,53.596,22.487,5.168,49.004,49.252,3.716,47.337,NaN,NaN,NaN,4.057,-2.001,69.341,15.843,-2.101,64.614,-6.65,-31.974,72.289,11.611,-28.556,88.071,25.563,-34.244,66.434,-18.44,-58.161,59.288,7.887,-52.988,74.036,34.715,-60.133,47.665,7.855,-56.659,73.687,7.867,-58.938,71.769,8.704,-64.662,73.567,6.037,-97.178,67.039,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-43.1,27.623,53.48,-23.048,40.577,65.527,2.537,34.881,68.322,27.296,34.78,65.174,50.394,38.72,55.765,65.625,26.356,42.014,NaN,NaN,NaN,-31.468,16.546,56.437,-3.244,14.298,56.526,29.127,13.761,51.471,56.718,13.05,43.055,NaN,NaN,NaN,11.283,7.956,70.335,22.319,7.174,66.583,0.602,-23.382,74.153,18.694,-19.518,88.838,32.289,-27.446,57.209,-9.575,-55.353,63.033,13.729,-46.498,75.757,36.786,-59.316,54.241,13.721,-51.648,74.197,13.822,-67.315,66.889,13.926,-73.72,69.446,10.603,-101.882,55.985,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-82.342,17.37,-60.402,-63.246,31.32,-38.005,-34.206,28.337,-36.67,-7.754,27.538,-32.67,19.876,28.54,-42.287,38.254,13.647,-63.576,NaN,NaN,NaN,-73.857,11.929,-47.63,-38.982,10.998,-42.766,-5.502,10.378,-45.677,28.74,6.545,-56.105,NaN,NaN,NaN,-29.789,4.814,-16.571,-18.331,4.905,-12.521,-42.207,-27.697,-16.295,-26.108,-24.651,6.758,-5.783,-29.697,-14.318,-48.635,-66.124,-30.369,-24.112,-62.463,-14.77,2.635,-68.621,-35.822,-24.137,-65.711,-19.143,-24.176,-67.294,-21.113,-24.869,-70.169,-17.509,-26.374,-110.973,-24.213,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-96.029,19.894,-97.915,-74.198,31.255,-82.727,-48.536,25.535,-82.669,-24.259,23.294,-79.035,1.201,23.505,-91.693,18.776,8.775,-116.836,NaN,NaN,NaN,-89.328,10.216,-94.518,-55.036,8.733,-90.686,-22.82,5.526,-97.518,11.121,3.047,-109.667,NaN,NaN,NaN,-44.694,-2.085,-65.868,-31.196,-3.07,-68.921,-59.706,-30.872,-67.341,-39.383,-28.774,-45.949,-20.881,-35.505,-86.264,-72.11,-65.395,-96.463,-42.253,-64.828,-71.743,-13.899,-67.797,-98.071,-42.283,-68.263,-75.923,-42.456,-75.008,-82.326,-43.058,-80.29,-77.767,-46.058,-118.423,-79.938,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-80.824,29.84,-105.39,-62.188,42.735,-89.371,-37.172,39.356,-85.73,-4.095,35.52,-87.246,22.546,39.885,-95.919,36.907,24.381,-111.135,NaN,NaN,NaN,-72.835,19.207,-93.695,-37.972,18.515,-96.021,-5.689,16.179,-95.757,29.321,13.007,-105.467,NaN,NaN,NaN,-26.783,11.289,-63.839,-15.719,9.658,-62.076,-40.215,-19.655,-60.779,-23.212,-14.516,-42.23,-3.753,-22.437,-78.498,-47.674,-63.553,-78.128,-23.309,-56.356,-61.525,1.137,-65.258,-83.478,-23.381,-59.635,-64.928,-23.555,-64.4,-78.163,-24.216,-69.235,-66.023,-25.691,-108.78,-71.154,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-99.599,19.717,-135.808,-81.917,38.638,-116.295,-54.566,33.776,-109.792,-21.088,28.098,-112.221,6.818,34.003,-119.848,21.671,18.3,-135.855,NaN,NaN,NaN,-88.969,13.275,-124.908,-54.704,13.197,-116.815,-19.405,12.478,-117.721,15.008,6.612,-131.19,NaN,NaN,NaN,-44.752,5.32,-90.06,-33.375,5.317,-85.734,-59.736,-23.458,-100.53,-41.035,-24.164,-68.138,-21.282,-27.813,-91.06,-71.935,-56.011,-119.152,-40.722,-56.627,-94.547,-7.786,-59.483,-124.145,-40.831,-59.993,-96.37,-40.912,-67.412,-98.084,-41.702,-72.25,-97.51,-42.888,-115.34,-99.277,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-82.085,18.539,-81.46,-64.63,33.875,-62.137,-36.568,26.705,-57.811,-5.785,24.204,-56.205,19.575,27.515,-62.001,36.753,10.153,-83.043,NaN,NaN,NaN,-71.782,12.259,-68.059,-40.704,10.084,-65.078,-4.962,6.874,-65.262,27.848,2.167,-75.741,NaN,NaN,NaN,-30.519,2.128,-40.759,-17.992,0.723,-35.41,-43.857,-30.054,-40.826,-28.435,-30.118,-15.5,-10.237,-33.752,-37.849,-52.978,-66.892,-56.492,-28.1,-62.942,-39.09,-1.268,-70.964,-60.444,-27.296,-66.239,-41.916,-28.089,-67.884,-43.182,-28.01,-70.867,-40.244,-31.976,-110.846,-50.217,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-74.832,23.937,-68.818,-56.963,42.193,-53.057,-28.932,38.185,-46.501,3.992,33.412,-48.526,28.628,37.433,-57.851,44.945,20.094,-79.032,NaN,NaN,NaN,-65.701,15.26,-61.967,-31.418,15.304,-56.163,2.425,13.849,-59.717,35.821,12.18,-69.541,NaN,NaN,NaN,-21.419,5.897,-27.573,-8.26,5.921,-26.564,-33.902,-24.489,-30.348,-15.727,-20.013,-6.732,1.847,-28.65,-43.747,-40.402,-67.382,-44.003,-17.329,-60.313,-27.929,6.802,-69.206,-51.643,-17.347,-63.524,-30.687,-17.384,-77.216,-38.337,-17.257,-83.179,-34.623,-19.658,-121.922,-46.369,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-61.683,32.046,-109.709,-39.971,35.134,-88.747,-18.694,29.589,-80.409,15.934,31.187,-80.783,39.983,41.994,-88.085,62.418,40.476,-105.4,NaN,NaN,NaN,-57.375,12.466,-106.726,-18.102,10.168,-103.46,19.36,14.371,-100.878,60.419,20.153,-112.835,NaN,NaN,NaN,-5.787,0.591,-77.784,7.029,2.259,-75.953,-16.004,-35.031,-89.068,3.979,-27.792,-57.995,24.296,-31.705,-84.813,-24.49,-68.799,-113.023,8.071,-58.478,-86.766,34.506,-62.707,-111.939,8.056,-63.551,-91.027,7.36,-66.343,-98.395,6.547,-75.348,-100.401,8.401,-106.547,-103.339,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-52.985,30.516,141.817,-34.351,35.293,159.98,-16.702,32.421,163.298,8.67,32.515,163.896,28.294,36.766,159.272,48.803,37.012,143.868,NaN,NaN,NaN,-50.81,17.381,143.673,-18.903,16.164,147.107,12.005,16.919,147.988,44.654,21.893,143.72,NaN,NaN,NaN,-7.852,7.863,162.342,1.686,9.234,161.955,-18.624,-19.706,154.886,-1.945,-18.426,174.611,17.197,-16.676,154.922,-27.497,-48.364,130.978,1.404,-38.195,154.411,28.582,-44.55,135.984,0.661,-42.449,151.987,-0.134,-46.856,142.263,-0.101,-53.694,146.326,3.047,-79.538,143.554,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-43.107,33.921,151.317,-24.776,39.224,165.881,-3.6,38.447,173.078,19.994,39.185,174.136,41.834,44.13,168.141,63.945,39.764,147.46,NaN,NaN,NaN,-37.58,17.446,151.46,-6.685,17.425,160.54,25.026,19.504,160.73,57.614,23.77,152.275,NaN,NaN,NaN,3.959,10.019,176.21,14.843,10.791,177.344,-5.417,-19.918,168.872,12.021,-9.997,191.067,28.932,-16.397,174.777,-10.842,-49.197,155.548,13.49,-40.119,175.114,37.914,-45.672,155.065,14.181,-44.202,174.918,13.668,-49.412,164.575,14.253,-56.838,166.938,12.613,-82.299,163.137,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-40.12,49.342,190.506,-25.16,58.891,206.827,-2.147,53.316,215.136,27.498,55.517,217.902,48.903,64.226,212.882,71.359,55.667,191.933,NaN,NaN,NaN,-33.759,33.902,201.339,-1.398,32.408,207.923,29.466,36.0,209.852,63.565,39.479,202.758,NaN,NaN,NaN,9.727,27.83,227.037,20.663,29.344,226.971,-1.748,-0.768,220.72,18.357,7.183,245.039,35.316,3.089,227.735,-14.422,-22.487,201.673,18.664,-16.882,226.8,51.811,-18.335,201.108,19.131,-20.582,225.497,17.436,-29.141,219.499,17.578,-35.847,220.0,17.88,-64.222,223.145,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-44.033,34.618,198.686,-27.145,41.526,213.818,-8.925,42.629,220.064,18.602,44.72,223.017,38.525,46.367,217.757,58.573,42.732,204.092,NaN,NaN,NaN,-39.853,18.565,203.33,-8.319,19.244,205.321,22.811,22.754,209.749,54.776,26.848,205.471,NaN,NaN,NaN,2.477,11.186,225.566,13.164,11.493,227.203,-6.134,-18.934,216.172,9.371,-11.016,239.981,26.332,-14.662,222.794,-13.276,-44.675,202.775,14.734,-35.659,223.174,39.271,-38.12,205.35,14.856,-40.42,221.61,12.898,-41.929,219.39,12.097,-47.354,217.399,13.974,-76.318,213.329,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-39.909,44.918,200.204,-25.703,52.547,212.048,-3.535,50.267,220.954,24.837,51.125,222.408,46.355,59.782,218.371,66.133,53.15,203.211,NaN,NaN,NaN,-33.625,27.651,205.813,-2.062,24.746,212.464,28.104,29.15,210.59,60.565,34.605,210.692,NaN,NaN,NaN,7.249,19.912,226.928,18.502,21.652,228.698,-1.409,-11.477,217.121,14.466,1.689,245.501,32.586,-6.943,221.363,-4.322,-45.262,207.753,16.734,-30.124,228.603,39.456,-40.763,208.492,16.909,-35.256,222.224,17.967,-54.668,219.917,18.529,-62.537,221.422,20.187,-88.29,212.051,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-73.012,-4.394,-66.185,-54.128,1.352,-48.676,-27.979,-1.74,-42.707,-0.5,-1.632,-45.54,19.991,3.207,-53.299,36.945,3.055,-74.933,NaN,NaN,NaN,-64.215,-15.547,-63.59,-32.293,-14.562,-59.631,-0.454,-13.045,-61.501,32.253,-13.23,-78.115,NaN,NaN,NaN,-19.332,-22.795,-40.107,-7.559,-22.789,-39.064,-29.477,-52.086,-43.521,-10.322,-55.166,-22.001,7.574,-52.516,-57.061,-38.229,-81.135,-56.343,-12.818,-74.026,-42.802,15.035,-78.62,-58.637,-11.998,-78.657,-42.035,-11.963,-81.037,-43.056,-11.833,-87.097,-41.268,-11.837,-125.408,-54.362,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-64.776,8.689,-166.347,-48.136,19.712,-151.595,-23.613,14.834,-142.164,-2.001,14.824,-138.65,18.751,18.281,-142.002,42.526,11.51,-158.55,NaN,NaN,NaN,-59.321,-3.821,-160.993,-26.366,0.643,-151.805,8.129,0.826,-149.241,40.096,-3.611,-161.005,NaN,NaN,NaN,-17.625,-4.894,-125.499,-9.209,-4.847,-121.514,-32.529,-32.591,-136.9,-13.853,-25.091,-104.843,7.475,-33.908,-124.877,-42.764,-63.05,-143.867,-14.08,-50.308,-120.889,21.742,-63.441,-139.032,-12.38,-55.257,-121.331,-12.311,-67.708,-122.106,-12.259,-73.399,-119.922,-15.295,-105.703,-111.944,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-65.739,33.082,-141.025,-51.984,52.852,-126.763,-21.984,47.706,-117.159,6.629,47.137,-117.764,30.595,52.276,-132.205,46.831,35.963,-140.764,NaN,NaN,NaN,-53.561,24.664,-129.115,-21.96,28.058,-122.698,8.472,26.563,-125.413,41.73,20.872,-137.735,NaN,NaN,NaN,-10.997,24.759,-91.084,0.957,24.034,-95.046,-24.689,-3.6,-93.841,-5.981,8.668,-71.066,14.074,-5.255,-100.304,-31.919,-45.946,-93.802,-8.392,-20.994,-78.763,16.684,-48.148,-93.32,-8.29,-27.478,-80.989,-8.228,-65.661,-84.192,-8.039,-72.506,-77.087,-7.736,-112.052,-79.097,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-73.26,10.053,-92.025,-55.559,21.196,-71.897,-29.831,17.401,-66.907,0.423,15.881,-66.089,26.521,19.923,-74.563,43.375,11.226,-96.376,NaN,NaN,NaN,-62.468,-0.266,-80.858,-29.945,1.392,-75.888,4.352,1.438,-77.078,34.121,-0.95,-88.091,NaN,NaN,NaN,-19.253,-5.498,-51.843,-7.284,-5.497,-49.43,-31.789,-31.646,-53.352,-12.9,-29.56,-30.467,6.105,-31.49,-52.726,-50.554,-57.096,-72.831,-12.602,-51.382,-50.433,22.432,-58.477,-74.357,-12.653,-56.195,-52.453,-13.416,-70.333,-54.0,-12.548,-77.146,-49.893,-14.663,-110.102,-43.783,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-66.951,18.036,-78.827,-48.903,29.473,-61.929,-24.785,26.077,-53.326,5.017,22.183,-57.564,28.797,24.626,-65.282,43.659,15.902,-81.079,NaN,NaN,NaN,-57.76,5.371,-68.155,-29.718,9.441,-64.264,8.406,8.708,-66.401,37.27,3.313,-77.567,NaN,NaN,NaN,-16.138,4.906,-42.847,-4.197,5.043,-37.635,-25.993,-30.374,-40.498,-9.606,-16.678,-17.48,8.508,-28.064,-40.15,-35.533,-57.392,-43.181,-11.98,-48.132,-29.305,14.836,-60.597,-46.357,-11.066,-53.615,-30.715,-11.02,-55.144,-30.076,-10.856,-61.316,-28.362,-11.307,-105.056,-31.478,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-67.871,22.891,-80.645,-50.634,35.728,-63.769,-24.882,28.439,-57.251,6.602,30.811,-55.951,31.984,32.588,-66.228,46.169,22.332,-82.869,NaN,NaN,NaN,-55.623,11.666,-74.643,-24.985,12.609,-66.197,6.831,11.096,-68.042,38.023,9.637,-80.151,NaN,NaN,NaN,-12.949,5.76,-39.428,-1.044,3.532,-38.793,-26.885,-21.879,-43.805,-8.093,-15.973,-19.258,10.892,-23.356,-41.717,-34.103,-59.366,-50.906,-10.493,-43.531,-32.184,15.699,-60.819,-51.583,-10.383,-49.042,-33.664,-10.266,-69.767,-40.655,-9.391,-78.974,-38.483,-12.299,-114.144,-45.032,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-36.85,12.106,141.683,-20.066,27.223,162.754,5.214,24.621,170.777,41.239,23.874,170.085,66.703,28.626,163.164,81.581,18.595,144.583,NaN,NaN,NaN,-25.063,10.16,148.062,5.906,6.714,156.935,40.177,8.744,159.076,73.112,10.159,148.07,NaN,NaN,NaN,17.513,0.962,178.949,31.567,2.293,178.713,4.821,-27.695,175.709,25.26,-19.635,198.75,46.748,-27.559,175.713,0.055,-68.728,159.802,28.588,-61.444,176.09,53.032,-66.006,156.354,28.646,-63.713,173.281,28.631,-64.98,174.613,27.971,-71.107,175.122,27.762,-105.067,166.501,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-57.343,25.803,19.637,-46.923,39.121,38.1,-23.608,35.304,48.019,13.863,30.889,51.951,39.84,41.949,49.833,55.778,34.052,37.695,NaN,NaN,NaN,-50.431,20.516,21.206,-19.243,18.316,37.243,14.195,20.591,41.26,49.221,22.136,35.757,NaN,NaN,NaN,-12.329,10.185,54.289,2.386,10.983,58.622,-21.199,-18.803,46.366,-4.796,-12.934,74.479,18.657,-13.091,57.853,-26.188,-52.371,22.644,-1.3,-48.384,50.444,29.647,-49.176,25.334,0.174,-49.968,46.601,0.956,-55.326,42.387,0.219,-61.267,43.817,1.387,-94.664,31.94,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-23.877,37.249,72.165,-6.446,55.987,86.606,20.062,50.557,97.202,51.703,48.717,95.499,78.762,54.039,81.331,92.721,39.887,67.276,NaN,NaN,NaN,-13.616,28.533,76.122,20.284,27.192,85.352,52.165,26.467,84.832,85.495,26.655,70.022,NaN,NaN,NaN,30.117,22.792,105.425,44.461,21.333,105.379,17.529,-9.211,110.1,40.449,0.315,127.237,59.265,-10.807,93.727,12.815,-55.829,83.589,37.588,-41.038,110.91,58.971,-55.163,82.294,37.847,-45.111,100.053,35.888,-69.553,94.436,34.567,-78.496,91.858,33.49,-105.929,79.577,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-59.526,18.974,96.822,-48.413,30.466,110.718,-19.794,28.819,121.679,20.26,27.671,118.826,44.461,31.175,112.411,59.439,20.606,90.259,NaN,NaN,NaN,-49.176,13.413,106.925,-19.967,10.618,110.315,19.075,12.183,109.575,47.655,15.704,101.008,NaN,NaN,NaN,-6.249,4.968,126.631,8.372,5.053,128.758,-20.116,-23.089,125.574,3.687,-18.698,147.861,24.01,-24.321,128.016,-35.02,-52.617,94.412,4.405,-48.978,123.235,39.061,-49.896,88.539,4.97,-55.174,71.091,2.512,-79.1,105.306,3.317,-87.475,106.447,2.355,-119.911,95.549,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-39.535,25.537,95.813,-26.924,34.589,107.794,-1.464,36.695,121.38,38.725,31.121,121.615,64.879,32.094,106.948,73.887,22.139,96.396,NaN,NaN,NaN,-29.858,11.213,97.346,-1.293,9.084,108.225,37.748,9.961,109.318,65.785,12.952,99.335,NaN,NaN,NaN,12.849,6.417,123.328,24.14,7.29,122.929,5.382,-34.925,125.114,21.268,-24.387,145.801,36.45,-36.579,114.908,-8.0,-67.049,105.293,23.707,-62.168,124.869,51.946,-62.203,97.34,25.992,-65.665,114.83,22.377,-67.452,119.294,22.465,-72.249,122.188,20.674,-113.492,100.611,NaN,NaN,NaN,NaN,NaN,NaN
